,Age,Income (USD),Income Stability,Type of Employment,Location,Loan Amount Request (USD),Current Loan Expenses (USD),Expense Type 1,Expense Type 2,Dependents,Credit Score,No. of Defaults,Has Active Credit Card,Property Location,Co-Applicant,Property Price,Loan Sanction Amount (USD)
75,50,2476.71,1,16,1,79928.84,336.88,1,1,2.0,678.0,0,2,1,1.0,100315.66,51953.75
77,18,2760.03,1,16,1,64516.08,322.2,1,0,1.0,682.6,1,2,0,1.0,117010.73,41935.45
78,62,1519.67,0,17,1,45103.02,450.18,0,1,1.0,854.18,0,2,1,1.0,75013.84,31572.11
79,48,2590.89,1,17,1,32607.06,293.0,0,0,2.0,801.62,0,1,0,1.0,60126.46,26085.65
80,56,1589.8,1,6,0,42465.29,294.29,0,0,2.0,729.66,1,0,0,1.0,68719.99,29725.7
81,30,3967.09,1,6,1,175654.45,730.28,1,1,3.0,718.28,1,0,0,1.0,198852.89,114175.39
83,22,2178.86,1,14,1,60176.63,282.93,0,0,1.0,813.17,0,1,0,1.0,82905.84,45132.47
84,37,1332.42,1,10,1,60017.87,475.42,0,1,1.0,728.29,0,0,1,1.0,99319.12,42012.51
86,63,3516.53,1,10,1,111662.86,670.31,0,0,1.0,822.91,0,2,1,1.0,149145.97,89330.29
87,61,3477.95,0,14,2,258359.02,938.59,1,1,3.0,791.54,0,0,0,1.0,437535.71,193769.26
89,22,1206.34,1,14,0,19195.88,97.75,0,1,2.0,669.13,0,1,1,1.0,32233.86,12477.32
91,53,2000.87,1,4,1,124714.96,631.2,1,1,2.0,675.33,0,1,2,1.0,170138.05,87300.47
94,48,979.49,1,11,1,24728.19,137.78,1,0,3.0,710.2,0,1,1,1.0,33750.19,16073.32
95,51,6060.9,1,10,2,102169.74,738.55,0,0,3.0,851.94,1,1,0,1.0,139187.56,86844.28
96,18,1532.0,1,8,1,30911.17,152.44,1,1,3.0,760.05,0,1,1,1.0,41720.56,21637.82
97,40,1532.0,1,16,2,76049.06,341.29,0,1,2.0,760.05,0,1,0,1.0,89983.16,60839.25
100,56,1894.11,1,12,1,36501.56,219.55,0,1,2.0,854.27,1,1,2,1.0,53826.78,25551.09
102,35,3537.39,1,3,1,27863.43,127.96,0,1,2.0,687.21,0,0,1,1.0,49483.82,19504.4
103,65,1356.3,0,8,0,90572.18,327.39,0,1,2.0,781.35,0,0,2,1.0,139890.25,72457.74
104,58,1565.69,1,8,0,20284.94,179.39,0,0,1.0,660.75,1,2,1,1.0,37516.71,13185.21
105,44,1028.41,1,14,1,38189.42,133.77,0,1,2.0,658.54,0,1,1,1.0,66887.0,24823.12
108,36,3214.48,1,8,0,58353.58,474.24,0,1,1.0,670.61,0,2,2,1.0,80524.3,69576.6
109,18,3214.48,1,10,1,107040.92,589.89,0,0,2.0,681.92,0,1,1,1.0,161283.95,69576.6
111,56,3370.31,1,0,1,200074.37,562.02,1,0,4.0,733.89,1,0,1,1.0,364087.25,130048.34
112,59,3370.31,1,8,1,139265.98,388.1,1,1,3.0,704.75,0,2,0,1.0,221176.16,90522.89
114,62,2573.03,1,8,0,136992.15,395.22,1,1,3.0,701.49,1,2,0,1.0,251217.1,103714.29
115,64,1545.57,1,3,1,159560.45,498.49,0,0,1.0,707.22,0,2,0,1.0,279036.8,103714.29
117,22,4493.53,1,14,1,62366.83,283.94,1,1,2.0,797.71,0,2,2,1.0,113945.92,49893.46
118,42,2139.98,1,3,1,24656.28,124.14,0,1,2.0,852.17,0,2,0,1.0,31258.86,19725.02
119,36,1274.01,1,14,1,97031.52,308.86,1,1,2.0,781.72,0,0,0,1.0,169263.91,72773.64
121,38,1919.85,1,8,1,31362.64,260.79,1,1,4.0,756.17,1,2,0,1.0,52756.02,21953.85
122,47,1273.04,1,14,0,38205.43,205.4,1,1,3.0,798.66,1,0,2,1.0,64949.87,28654.07
123,64,3418.19,1,0,0,59458.51,358.26,0,0,1.0,809.85,0,1,2,1.0,92549.63,41620.96
124,32,4752.31,1,10,1,92444.56,447.98,1,0,2.0,723.27,0,0,0,1.0,102105.1,64711.19
125,41,2918.66,1,10,2,67945.04,361.46,0,1,2.0,649.78,0,0,0,1.0,113957.08,47561.53
127,18,1598.0,1,10,0,74577.6,381.31,0,0,2.0,718.98,0,2,0,1.0,106610.08,52204.32
129,39,2100.78,1,8,1,210569.27,537.7,1,0,1.0,699.5,0,0,1,1.0,391691.7,147398.49
130,58,1660.34,1,6,1,49598.48,265.6,0,1,1.0,763.17,0,0,0,1.0,59389.33,39678.78
131,18,2877.12,1,14,1,169359.86,1162.36,1,0,3.0,670.89,1,0,2,1.0,265433.18,118551.9
132,30,3131.48,1,8,1,53106.96,162.12,0,0,1.0,773.58,0,0,2,1.0,64680.13,34519.52
133,37,3131.48,1,0,2,79909.09,397.51,1,1,2.0,773.58,1,0,2,1.0,123005.34,59931.82
134,28,3131.48,1,8,0,102536.42,557.03,0,1,1.0,669.4,1,2,1,1.0,150194.71,71775.49
135,18,3496.45,1,17,1,136037.97,604.69,1,0,2.0,831.56,0,2,2,1.0,237410.99,95226.58
136,65,967.86,0,14,1,79442.15,381.79,1,1,2.0,684.07,0,1,1,1.0,138667.33,55609.5
137,64,967.86,1,14,1,47048.96,240.63,0,0,2.0,671.05,0,1,2,1.0,52018.51,32934.27
138,33,1491.84,1,1,1,98757.66,296.19,0,1,3.0,761.02,0,1,1,1.0,133896.96,69130.36
139,52,2182.76,1,8,1,138081.27,552.45,0,1,1.0,717.7,0,1,0,1.0,210008.23,89752.83
141,42,2462.09,1,13,0,262719.4,702.81,1,1,3.0,798.13,0,0,0,1.0,336636.4,183903.58
142,32,2356.9,1,8,1,141950.43,371.69,1,1,2.0,644.13,0,1,0,1.0,257724.9,92267.78
144,61,2276.44,1,4,1,42747.02,223.99,0,1,1.0,765.5,0,0,2,1.0,63815.66,34197.62
146,51,6014.8,1,10,2,137881.43,704.56,1,1,5.0,758.89,0,2,1,1.0,201934.97,96517.0
148,21,2836.78,1,8,0,123359.81,608.46,0,1,3.0,683.77,1,0,1,1.0,188339.8,80183.88
151,42,1239.81,1,14,1,28781.77,197.86,0,1,2.0,745.39,0,1,2,1.0,34640.81,18708.15
152,31,3048.84,1,14,1,145343.2,927.59,0,0,2.0,841.12,1,1,1,1.0,256615.01,101740.24
153,18,3048.84,1,8,1,23807.1,123.46,0,0,1.0,682.32,0,1,1,1.0,43868.75,15474.62
154,35,3048.84,1,8,2,86281.74,635.82,0,0,3.0,779.09,0,0,2,1.0,133711.7,60397.22
155,36,1256.46,1,8,1,87663.0,501.31,0,1,3.0,760.06,0,1,2,1.0,149690.69,61364.1
156,18,1804.62,1,6,1,138931.88,488.59,0,0,1.0,782.31,0,0,0,1.0,156867.8,111145.5
157,64,3637.7,1,10,0,23811.63,162.44,0,0,2.0,811.11,0,2,1,1.0,40867.64,19049.3
159,26,4338.52,1,14,1,106168.08,327.38,1,1,2.0,603.11,0,1,0,1.0,164951.03,74317.66
161,43,2532.51,1,8,0,6189.5,34.04,0,1,4.0,728.51,0,1,1,1.0,8406.79,4023.18
162,62,2334.17,1,8,1,174980.55,639.42,0,1,4.0,689.17,0,1,0,1.0,322776.3,113737.36
163,52,5023.72,1,14,1,102610.53,762.16,1,1,4.0,792.47,0,2,2,1.0,148807.35,76957.9
165,51,2021.96,1,14,2,114273.33,375.55,0,0,4.0,720.3,0,0,0,1.0,185723.98,79991.33
166,48,3404.88,1,3,2,35677.5,358.57,1,1,2.0,851.44,1,2,1,1.0,49569.03,35677.5
167,37,3268.08,1,0,1,113861.07,480.68,1,0,1.0,738.18,0,2,1,1.0,171731.49,79702.75
168,43,1637.51,1,6,1,75095.84,417.84,0,1,3.0,815.75,1,2,1,1.0,114087.85,60076.67
169,26,5445.6,1,10,1,81490.74,1118.79,1,1,4.0,722.17,0,0,0,1.0,132436.48,57043.52
170,43,2470.74,1,8,1,99316.11,367.34,1,1,1.0,707.82,0,1,0,1.0,133883.38,64555.47
171,51,2470.74,1,9,1,105866.95,834.14,0,1,3.0,651.64,0,1,0,1.0,146419.13,74106.86
172,44,2137.01,1,14,1,114392.28,376.31,0,1,2.0,708.88,1,2,0,1.0,211999.08,74354.98
173,21,2137.01,1,14,1,201716.39,498.39,0,0,2.0,804.32,0,1,1,1.0,233893.63,141201.47
175,18,1893.91,1,3,1,113175.0,383.49,0,1,2.0,825.06,0,2,2,1.0,167022.14,84881.25
176,55,2755.69,1,6,1,39048.36,332.61,0,0,1.0,650.09,0,2,0,1.0,67755.7,25381.43
178,50,3466.88,1,8,1,124136.37,324.74,0,1,3.0,665.98,0,0,0,1.0,142154.35,86895.46
179,50,3466.88,1,8,1,112900.61,542.32,0,1,3.0,801.33,0,0,2,1.0,189468.38,90320.49
180,44,3466.88,1,8,1,161020.8,700.37,0,1,2.0,788.67,0,0,2,1.0,194231.61,128816.64
182,37,1631.16,1,8,1,53926.02,159.06,0,0,3.0,652.46,0,0,0,1.0,93484.83,35051.91
183,23,1970.12,1,8,1,45332.69,295.74,0,0,1.0,655.33,0,2,0,1.0,68462.61,31732.88
184,65,911.24,0,8,0,31484.72,176.33,0,1,2.0,851.02,0,0,0,1.0,57401.5,23613.54
186,18,1098.18,1,8,1,77512.02,346.47,0,1,2.0,668.87,0,1,1,1.0,129330.82,50382.81
188,57,4244.06,1,6,1,89707.55,471.27,1,0,1.0,721.5,0,1,1,1.0,161982.05,62795.28
189,65,2662.74,0,3,1,126470.1,407.09,0,1,1.0,774.11,0,1,2,1.0,205775.77,94852.58
190,34,2940.62,1,3,2,37359.33,191.58,0,1,2.0,842.73,0,0,1,1.0,58296.16,29887.46
192,43,1935.49,1,12,1,109313.69,459.13,0,1,2.0,650.39,0,0,2,1.0,143224.2,76519.58
193,56,4252.56,1,14,1,155846.86,465.13,1,1,3.0,824.43,0,2,1,1.0,199451.96,109092.8
194,46,824.0,1,8,1,28762.4,173.77,1,1,2.0,770.16,1,0,0,1.0,54258.63,23009.92
196,64,2534.74,1,10,0,130784.86,632.41,0,1,2.0,791.81,0,0,2,1.0,169766.07,98088.64
197,18,3089.34,1,14,2,81979.03,395.75,1,1,3.0,652.28,0,2,2,1.0,101688.7,53286.37
198,25,8556.16,1,14,1,67406.4,339.62,0,1,3.0,713.59,0,1,2,1.0,98777.13,43814.16
200,59,997.39,1,3,1,26045.14,137.21,0,1,2.0,805.44,0,2,2,1.0,46802.31,19533.86
201,65,3320.45,0,14,1,93722.31,320.44,1,1,2.0,805.44,1,2,0,1.0,134052.11,65605.62
202,26,1272.64,1,14,1,27915.27,132.96,0,1,1.0,673.66,0,2,0,1.0,39834.37,19540.69
203,58,2030.99,1,4,0,31073.48,214.31,0,1,2.0,658.98,1,0,1,1.0,39487.19,20197.76
204,54,2030.99,1,14,1,24805.62,125.15,1,1,2.0,675.64,0,0,0,1.0,44287.49,17363.93
205,44,2030.99,1,8,1,26802.03,138.45,0,0,2.0,688.22,0,1,0,1.0,36179.99,17421.32
210,47,2898.53,1,0,1,37650.79,230.72,1,1,5.0,784.91,0,0,1,1.0,42259.04,26355.55
211,60,3647.48,1,0,1,92025.17,271.1,0,1,2.0,758.65,0,0,0,1.0,119475.01,69018.88
213,27,1815.74,1,14,1,61649.37,500.62,0,1,1.0,768.21,0,1,0,1.0,91110.67,43154.56
216,29,2915.93,1,3,2,68159.89,451.18,0,0,2.0,725.63,0,1,2,1.0,75697.92,47711.92
217,18,5219.66,1,8,2,94710.9,508.81,0,1,1.0,725.63,0,0,0,1.0,154216.44,66297.63
219,24,1689.23,1,14,1,21300.04,165.04,0,1,2.0,683.05,0,0,0,1.0,28328.25,14910.03
220,48,3019.18,1,9,1,125147.71,932.19,1,1,2.0,775.64,0,1,1,1.0,164740.36,100118.17
223,33,2642.24,1,4,1,42274.06,246.13,1,1,5.0,734.85,0,2,0,1.0,58303.74,27478.14
226,55,3735.11,1,10,1,39214.61,423.91,1,0,4.0,791.34,0,1,1,1.0,66402.87,29410.96
227,64,2684.22,0,4,1,218350.95,565.38,1,0,2.0,853.85,0,0,1,1.0,246482.47,152845.66
230,60,1688.61,0,4,0,75015.14,333.17,1,1,3.0,701.57,0,0,0,1.0,138895.43,60012.11
231,58,1364.79,1,4,1,19685.95,127.54,0,1,3.0,701.57,0,0,0,1.0,26031.2,13780.16
235,18,1671.81,1,12,1,17644.97,139.31,0,1,2.0,721.97,0,2,1,1.0,23615.91,11469.23
237,64,3348.03,1,10,0,25849.09,138.06,0,1,3.0,709.49,0,1,2,1.0,32998.86,18094.36
238,40,2021.75,1,11,2,36294.77,205.0,0,0,1.0,698.25,0,1,2,1.0,64860.26,25406.34
240,18,3136.81,1,9,1,100990.4,841.52,0,0,2.0,688.47,0,2,0,1.0,183703.74,65643.76
242,61,3128.83,0,11,0,52152.58,248.85,0,1,2.0,818.81,1,2,2,1.0,72118.22,41722.06
243,57,3128.83,1,11,1,72377.75,271.71,1,1,2.0,868.29,1,2,0,1.0,123798.27,57902.2
244,55,3698.25,1,0,1,49607.22,194.92,0,1,3.0,714.22,0,1,1,1.0,76861.49,32244.69
245,59,2350.57,1,0,0,155415.53,609.91,0,1,3.0,837.48,0,0,2,1.0,221160.69,108790.87
247,52,3019.22,1,3,0,282407.38,971.44,0,1,2.0,699.81,1,2,2,1.0,368376.84,197685.17
249,31,2481.37,1,6,1,104912.22,408.34,0,1,2.0,823.43,0,2,2,1.0,187588.62,83929.78
254,52,3652.54,1,10,1,60290.94,394.76,0,0,2.0,798.1,0,1,0,1.0,90879.54,42203.66
256,38,2851.65,1,0,1,71229.02,286.93,0,0,2.0,794.38,0,2,0,1.0,105789.0,53421.76
257,65,1560.02,0,10,1,29648.91,306.52,0,1,2.0,794.38,1,0,1,1.0,35838.91,20754.24
258,45,3140.7,1,10,1,44784.94,479.22,0,1,1.0,724.44,0,0,2,1.0,57788.41,29110.21
259,38,1921.55,1,14,1,112213.71,556.61,0,1,1.0,814.53,0,1,1,1.0,149678.71,84160.28
260,18,1921.55,1,8,1,19207.76,66.6,0,1,1.0,855.08,0,2,1,1.0,29691.19,14405.82
261,59,1921.55,1,8,1,137872.66,786.65,1,1,5.0,760.25,1,2,2,1.0,228937.1,96510.86
262,28,2719.89,1,10,2,166056.07,519.55,0,1,2.0,856.68,1,0,2,1.0,227903.42,132844.86
264,43,1395.23,1,8,1,44856.91,500.13,0,0,1.0,651.73,0,1,0,1.0,65079.69,29156.99
265,25,1395.23,1,8,0,38784.96,312.04,1,1,1.0,687.54,0,1,0,1.0,70402.77,27149.47
267,25,2022.57,1,11,2,249733.19,666.17,0,1,1.0,845.35,0,2,1,1.0,390337.74,187299.89
269,40,2256.9,1,14,1,56374.14,275.59,0,1,3.0,712.26,0,2,1,1.0,76961.51,36643.19
271,32,1917.54,1,14,1,110305.49,331.76,1,1,3.0,737.47,1,2,0,1.0,170604.8,71698.57
273,25,3068.1,1,10,1,122484.45,349.86,0,1,2.0,708.3,0,1,1,1.0,149461.31,85739.12
274,18,3068.1,1,4,0,140088.79,403.45,0,1,2.0,726.11,0,2,1,1.0,202394.0,98062.15
275,41,1276.51,1,8,1,7666.92,80.48,0,1,4.0,684.14,0,0,1,1.0,11041.11,4983.5
276,19,1276.51,1,8,1,28108.63,129.82,0,1,4.0,668.73,0,2,0,1.0,49175.43,19676.04
277,35,2779.3,1,6,2,109785.62,594.63,1,1,5.0,807.39,1,1,2,1.0,180786.38,82339.22
278,28,1553.34,1,8,0,109779.19,467.07,1,1,5.0,720.74,0,2,1,1.0,129780.73,76845.43
279,18,3427.23,1,2,2,87514.92,478.17,1,0,3.0,791.23,0,1,0,1.0,101389.24,65636.19
280,18,3427.23,1,4,0,64427.05,723.68,1,1,3.0,684.65,0,2,1,1.0,101056.16,45098.94
281,61,3496.85,1,14,1,175467.92,802.03,1,1,1.0,773.79,1,1,2,1.0,301466.79,122827.54
282,59,2844.55,1,3,1,131050.78,411.94,1,1,3.0,727.58,1,0,1,1.0,177418.52,85183.01
283,47,2795.43,1,10,1,39346.8,201.28,1,0,4.0,783.93,0,2,1,1.0,74328.89,27542.76
284,18,1676.6,1,14,0,30368.33,175.61,0,0,3.0,691.17,0,2,0,1.0,43019.87,21257.83
285,19,4948.66,1,8,1,231163.16,999.49,0,1,2.0,798.95,1,2,0,1.0,413976.38,184930.53
286,35,1755.05,1,8,0,41417.36,215.93,1,0,2.0,798.79,1,1,1,1.0,56623.09,31063.02
287,64,1975.22,1,8,1,31672.88,280.21,1,1,2.0,668.17,0,1,1,1.0,49795.21,22171.02
288,47,979.13,1,1,1,52872.11,250.49,0,1,2.0,683.58,0,0,0,1.0,75633.77,37010.48
289,45,681.87,1,4,0,102012.88,490.26,1,0,4.0,669.96,1,0,2,1.0,189237.75,71409.02
291,62,4840.19,0,16,2,135733.59,785.69,1,1,2.0,693.26,0,0,0,1.0,175778.88,88226.83
292,45,1367.78,1,16,1,72849.77,371.78,1,0,1.0,690.53,0,1,0,1.0,122846.79,47352.35
295,18,936.62,1,4,1,86684.26,336.41,1,0,3.0,714.54,0,0,0,1.0,106848.86,56344.77
296,18,1236.55,1,14,0,202722.79,620.0,0,1,2.0,831.45,0,1,2,1.0,355511.25,162178.23
297,65,3065.86,0,3,1,75834.97,441.79,0,0,1.0,831.45,0,1,2,1.0,91827.56,56876.23
298,55,3065.86,1,3,1,235537.77,647.84,0,0,3.0,752.57,0,2,2,1.0,388202.46,164876.44
299,20,1607.69,1,3,1,41145.84,188.43,0,0,1.0,727.72,0,2,0,1.0,59503.79,26744.8
300,27,1322.23,1,3,0,66647.24,299.25,0,1,2.0,777.35,0,2,2,1.0,86758.51,49985.43
301,48,1678.09,1,8,1,37662.62,426.44,0,0,2.0,727.29,0,2,0,1.0,64136.75,24480.7
302,62,2659.67,0,17,1,77419.92,269.78,0,0,1.0,855.81,0,0,1,1.0,130140.37,58064.94
304,23,2577.92,1,8,1,230113.44,797.9,0,1,4.0,698.65,0,0,1,1.0,406970.53,161079.41
305,62,7356.57,1,8,1,304135.78,1007.69,1,1,2.0,787.93,0,1,1,1.0,445829.27,243308.62
306,41,2462.42,1,3,0,46519.69,274.33,0,1,4.0,715.31,0,0,2,1.0,52888.64,32563.78
307,18,2462.42,1,3,1,42179.89,302.85,1,1,4.0,840.04,0,1,2,1.0,64347.9,31634.92
308,53,2100.74,1,0,1,67545.07,240.26,0,1,2.0,800.16,0,2,2,1.0,111736.29,54036.06
309,65,1826.46,0,3,1,120926.92,438.84,0,1,1.0,821.86,0,0,1,1.0,166400.45,84648.84
310,18,2793.32,1,3,0,136756.06,628.37,1,0,4.0,821.86,0,2,0,1.0,251012.63,109404.85
312,18,1650.46,1,8,1,43949.29,142.07,1,1,2.0,727.78,0,1,2,1.0,55699.88,30764.5
315,57,4506.43,1,9,1,94795.17,1022.01,1,1,3.0,865.58,0,0,0,1.0,117839.32,66356.62
316,39,1845.49,1,9,0,28262.98,139.95,0,1,3.0,669.66,0,2,2,1.0,45545.62,19784.09
317,46,1328.61,1,12,1,83898.46,398.03,0,1,4.0,698.54,1,2,0,1.0,102282.62,54534.0
318,53,3933.38,1,16,1,108368.58,475.68,0,1,2.0,746.27,0,2,2,1.0,127126.27,75858.01
319,45,865.41,1,6,1,53154.33,216.29,0,1,3.0,783.98,0,2,1,1.0,92140.79,42523.46
321,56,2819.71,1,8,0,81955.97,311.89,1,1,2.0,680.41,0,2,2,1.0,149134.84,57369.18
324,36,1587.5,1,8,0,77594.57,254.94,0,0,2.0,794.74,0,0,0,1.0,138424.01,58195.93
325,18,930.65,1,8,2,271308.47,959.69,0,1,2.0,769.28,0,1,2,1.0,344872.79,189915.93
326,34,930.65,1,8,1,147198.51,431.84,1,1,2.0,773.41,0,0,1,1.0,238443.3,103038.96
327,45,4100.41,1,8,1,226318.9,587.57,1,0,4.0,734.39,0,0,1,1.0,334190.87,147107.28
331,34,4874.3,1,10,1,123114.38,484.77,1,0,2.0,656.21,0,0,1,1.0,169380.56,86180.07
332,56,1388.99,1,4,1,67783.35,529.92,0,0,3.0,701.27,0,0,1,1.0,80305.66,47448.34
335,63,1002.43,1,0,2,64916.81,303.65,1,1,4.0,820.76,0,1,2,1.0,75311.08,51933.45
336,42,1002.43,1,6,0,32556.81,255.85,0,0,1.0,665.88,0,0,0,1.0,47694.56,22789.77
339,58,2446.91,1,10,0,121564.41,388.79,0,1,1.0,811.91,0,1,2,1.0,154407.37,97251.53
341,42,1123.46,1,13,1,75992.65,408.73,0,1,1.0,656.0,0,2,0,1.0,96359.35,49395.22
343,24,1213.99,1,14,1,26149.12,124.67,1,1,2.0,719.93,0,0,1,1.0,29412.59,18304.38
345,34,2426.79,1,14,1,65433.69,297.68,1,1,3.0,757.72,0,0,2,1.0,108343.99,49075.27
346,29,3438.9,1,14,1,167375.01,608.43,0,1,3.0,750.55,0,1,2,1.0,268717.92,133900.01
347,18,2431.93,1,0,1,89063.15,403.23,0,1,3.0,726.7,0,2,1,1.0,167707.58,57891.05
348,65,5191.72,0,0,1,37885.36,365.64,0,1,2.0,818.1,1,2,1,1.0,56507.73,26519.75
350,22,1989.4,1,13,0,48613.85,232.21,0,1,3.0,709.77,0,1,1,1.0,80869.13,34029.7
352,58,1214.93,1,14,1,24196.4,131.93,0,0,2.0,858.58,0,1,2,1.0,33255.09,18147.3
353,60,3258.15,0,0,0,129111.42,406.46,0,1,1.0,858.58,0,0,0,1.0,224437.52,103289.14
354,37,3411.82,1,0,1,127792.5,360.27,1,1,2.0,770.24,0,1,2,1.0,204980.04,102234.0
355,39,4437.29,1,3,2,163023.28,844.31,0,0,1.0,665.8,0,2,2,1.0,260396.72,114116.3
356,48,2383.13,1,8,1,97890.25,465.94,0,1,2.0,763.91,0,1,0,1.0,107731.43,68523.18
357,26,1363.2,1,0,1,110952.73,564.44,0,1,3.0,667.3,0,1,0,1.0,209353.62,72119.27
